1. Edad;2. Sexo;3. ¿En qué Localidad vive?;4. Los recibos de servicios públicos que recibe en su hogar, corresponden a: ;Primera respuesta seleccionada;Segunda respuesta seleccionada;Tercera respuesta seleccionada;;;;;;;
60 o más;Masculino;Chapinero;Estrato 6;La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;;;
30 a 44 años;Femenino;Chapinero;Estrato 4;La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;;;
18 a 29 años;Femenino;Suba;Estrato 3;Los malos olores, ratones y focos de enfermedades;, La inseguridad que se genera en entornos llenos de basuras;;;;;;;;
30 a 44 años;Femenino;Santa Fe;Estrato 4;La inseguridad que se genera en entornos llenos de basuras;, Los contenedores y canecas para disposición de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
45 a 59 años;Femenino;Chapinero;Estrato 5;El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;;;;;;;
30 a 44 años;Femenino;Fontibón;Estrato 4;La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;;;
30 a 44 años;Femenino;Usaquén;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;;;;;;;
18 a 29 años;Femenino;Fontibón;Estrato 4;El deterioro ambiental;, La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;, Los contenedores y canecas para disposición de basuras;, Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;
30 a 44 años;Masculino;Suba;Estrato 3;El incremento de las tarifas del servicio público de aseo;, Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
45 a 59 años;Femenino;Fontibón;Estrato 4;La basura tirada en la calle;, El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
30 a 44 años;Masculino;Teusaquillo;Estrato 5;Los contenedores y canecas para disposición de basuras;, Los malos olores, ratones y focos de enfermedades;, El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;, La falta de amor propio por la ciudad; No soy de Bogota pero hay sectores donde ni los mismos capitalinos cuidan la ciudad; El desorden y el migre generado por las basuras mal depositadas hace ver la ciudad fea, descuidada y caos llama caos; 
30 a 44 años;Femenino;Rafael Uribe Uribe;Estrato 3;El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;;;;;;;
30 a 44 años;Femenino;Suba;Estrato 5;Los contenedores y canecas para disposición de basuras;, El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
45 a 59 años;Femenino;Usaquén;Estrato 3;La basura tirada en la calle;, Los contenedores y canecas para disposición de basuras;, El incremento de las tarifas del servicio público de aseo;;;;;;;
45 a 59 años;Femenino;Engativá;Estrato 3;La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;, Los contenedores y canecas para disposición de basuras;;;;;
45 a 59 años;Femenino;Teusaquillo;Estrato 4;Poca generación de nuevos empleos en torno al tema del manejo de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;;;;;;;
30 a 44 años;Masculino;Teusaquillo;Estrato 4;El deterioro ambiental;, La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;;;;;;
60 o más;Masculino;Usaquén;Estrato 4;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;, El incremento de las tarifas del servicio público de aseo;;;;;;;
30 a 44 años;Masculino;Fontibón;Estrato 4;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;, La basura tirada en la calle;;;;;;;
60 o más;Masculino;Barrios Unidos;Estrato 4;Los contenedores y canecas para disposición de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;;;;;;;
45 a 59 años;Femenino;Fontibón;Estrato 4;La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;, El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;
45 a 59 años;Femenino;Usaquén;Estrato 3;El deterioro ambiental;, La inseguridad que se genera en entornos llenos de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los contenedores y canecas para disposición de basuras;, El incremento de las tarifas del servicio público de aseo;, Los malos olores, ratones y focos de enfermedades;;;;
45 a 59 años;Masculino;Rafael Uribe Uribe;Estrato 3;El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;;;;;;;
60 o más;Femenino;Puente Aranda;Estrato 3;La basura tirada en la calle;, La disposición y recolección de escombros;;;;;;;;
45 a 59 años;Femenino;Usaquén;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;, El incremento de las tarifas del servicio público de aseo;, Los contenedores y canecas para disposición de basuras;, La inseguridad que se genera en entornos llenos de basuras;;;;
18 a 29 años;Masculino;Suba;Estrato 5;Los malos olores, ratones y focos de enfermedades;, El incremento de las tarifas del servicio público de aseo;, Los contenedores y canecas para disposición de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;;;;;
60 o más;Femenino;Candelaria;Estrato 3;La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;, Los contenedores y canecas para disposición de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;
60 o más;Femenino;Chapinero;Estrato 4;Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
60 o más;Femenino;Usaquén;Estrato 4;Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;;;;;;;
45 a 59 años;Femenino;Ciudad Bolívar;Estrato 2;El deterioro ambiental;, La inseguridad que se genera en entornos llenos de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los contenedores y canecas para disposición de basuras;;;;;;
30 a 44 años;Femenino;Usaquén;Estrato 3;El deterioro ambiental;, El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
45 a 59 años;Femenino;Usaquén;Estrato 3;Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;;;;;;;
30 a 44 años;Masculino;Chapinero;Estrato 4;Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;;;;;;;;
45 a 59 años;Femenino;Usaquén;Estrato 6;El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;;;;;;;;
60 o más;Femenino;Usaquén;Estrato 3;El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, Los contenedores y canecas para disposición de basuras;, La inseguridad que se genera en entornos llenos de basuras;;;;;;
30 a 44 años;Femenino;Suba;Estrato 4;La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;;;
45 a 59 años;Femenino;Suba;Estrato 4;Los malos olores, ratones y focos de enfermedades;, El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
45 a 59 años;Masculino;Puente Aranda;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;;;;;;;
30 a 44 años;Masculino;Teusaquillo;Estrato 3;El incremento de las tarifas del servicio público de aseo;, Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;, El deterioro ambiental;, La inseguridad que se genera en entornos llenos de basuras;, Los horarios y frecuencias de recolección de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Pedagogía ala comunidad con sentido de apropiación de nuestras problemáticas sensibilizar y concientización ;
30 a 44 años;Femenino;Suba;Estrato 4;La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;;;;;;;
60 o más;Masculino;Ciudad Bolívar;Estrato 2;La inseguridad que se genera en entornos llenos de basuras;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;;;;;;;
45 a 59 años;Masculino;Engativá;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;;;
30 a 44 años;Masculino;Suba;Estrato 5;La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;;;;;;;;
30 a 44 años;Masculino;Usaquén;Estrato 3;El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;
